Order_ID,Warehouse_Origin,Destination,Product_Category,Order_Value,Distance_km,Shipping_Mode,Customer_Type,Order_Day,Order_Month,Weather_Condition,Traffic_Level,Number_of_Items,Previous_Delays,Processing_Time_hrs,Shipping_Cost,Delivery_Delayed
ORD-104350,Kolkata,Mumbai,Groceries,1759.0,2106.5,Priority,Regular,Sunday,October,Cloudy,Low,7,2,26.9,774.0,1
ORD-101610,Delhi,Patna,Beauty,1574.0,1039.5,Standard,New,Friday,August,Cloudy,Medium,2,1,10.3,157.0,0
ORD-102095,Hyderabad,Bengaluru,Electronics,17840.0,663.0,Standard,Regular,Thursday,November,Fog,Low,1,1,33.2,150.0,1
ORD-102781,Mumbai,Kochi,Groceries,2249.0,1423.0,Economy,Regular,Saturday,August,Rain,Medium,6,1,7.3,181.0,0
ORD-104988,Mumbai,Visakhapatnam,Groceries,2482.0,1373.7,Standard,Regular,Wednesday,October,Cloudy,Medium,7,1,8.2,238.0,1
ORD-104012,Mumbai,Indore,Furniture,18461.0,607.9,Standard,Regular,Wednesday,April,Clear,Low,1,1,35.8,162.0,0
ORD-101043,Chennai,Bengaluru,Electronics,20940.0,353.9,Standard,New,Monday,September,Cloudy,High,3,0,6.9,110.0,1
ORD-101452,Bengaluru,Coimbatore,Furniture,16827.0,296.4,Economy,Regular,Wednesday,March,Clear,High,1,0,17.6,68.0,0
ORD-104703,Delhi,Bhopal,Home & Kitchen,3451.0,738.5,Standard,Regular,Friday,September,Storm,Medium,4,0,13.0,139.0,0
ORD-100961,Bengaluru,Delhi,Sports,1493.0,2135.7,Standard,Regular,Sunday,August,Clear,High,1,1,7.1,260.0,1
ORD-103241,Hyderabad,Coimbatore,Clothing,3392.0,850.9,Economy,Regular,Sunday,April,Clear,Medium,2,1,14.4,120.0,0
ORD-102893,Bengaluru,Mumbai,Groceries,500.0,1037.5,Standard,Regular,Monday,February,Fog,High,4,0,1.0,172.0,0
ORD-104170,Bengaluru,Bhopal,Books,608.0,1392.0,Standard,Regular,Wednesday,October,Fog,Medium,2,1,29.7,158.0,0
ORD-101920,Hyderabad,Hyderabad,Books,1168.0,43.3,Economy,New,Friday,June,Clear,High,3,0,3.9,60.0,0
ORD-104802,Mumbai,Chennai,Sports,1388.0,1241.8,Standard,Regular,Friday,September,Storm,High,1,1,6.6,154.0,0
ORD-104294,Bengaluru,Delhi,Clothing,3327.0,2235.3,Economy,Regular,Saturday,September,Storm,Low,2,0,18.6,198.0,0
ORD-104507,Delhi,Kochi,Home & Kitchen,17465.0,2569.1,Economy,Regular,Saturday,December,Fog,High,4,2,11.4,286.0,1
ORD-103498,Chennai,Bengaluru,Electronics,22272.0,339.9,Standard,New,Saturday,June,Cloudy,High,2,0,13.3,126.0,0
ORD-101913,Hyderabad,Delhi,Groceries,2675.0,1537.3,Economy,New,Thursday,May,Cloudy,High,6,0,6.9,213.0,1
ORD-102898,Mumbai,Coimbatore,Electronics,24946.0,1194.7,Priority,Regular,Monday,August,Cloudy,Low,2,1,11.8,561.0,0
ORD-103605,Hyderabad,Chandigarh,Groceries,983.0,1920.9,Standard,Regular,Friday,September,Cloudy,Low,3,0,12.5,233.0,0
ORD-104588,Hyderabad,Visakhapatnam,Electronics,6414.0,638.6,Standard,Regular,Saturday,February,Rain,Medium,1,0,10.3,108.0,0
ORD-104111,Delhi,Delhi,Electronics,9331.0,39.1,Standard,Premium,Monday,June,Rain,High,1,0,23.4,51.0,0
ORD-104997,Mumbai,Delhi,Electronics,5614.0,1441.8,Priority,Premium,Tuesday,May,Clear,Low,1,0,22.1,387.0,0
ORD-101324,Kolkata,Pune,Clothing,2320.0,1846.0,Standard,Regular,Friday,December,Rain,Low,4,2,13.7,273.0,1
ORD-101508,Bengaluru,Nagpur,Home & Kitchen,8634.0,1144.9,Express,New,Saturday,December,Clear,Low,2,0,18.0,255.0,0
ORD-101721,Mumbai,Chandigarh,Clothing,4172.0,1695.0,Standard,Regular,Tuesday,January,Cloudy,Medium,3,2,8.3,232.0,0
ORD-104787,Delhi,Lucknow,Home & Kitchen,875.0,548.0,Standard,Regular,Saturday,June,Storm,Medium,1,0,42.6,91.0,0
ORD-105080,Chennai,Mumbai,Electronics,26728.0,1160.4,Standard,Premium,Wednesday,December,Cloudy,High,1,0,35.3,194.0,1
ORD-105341,Delhi,Kochi,Sports,3108.0,2610.5,Economy,Regular,Monday,November,Clear,High,2,1,12.7,274.0,1
ORD-101818,Bengaluru,Kolkata,Electronics,10477.0,2085.4,Economy,Regular,Sunday,February,Clear,Low,1,0,13.2,167.0,1
ORD-105320,Delhi,Chennai,Home & Kitchen,9819.0,2237.1,Priority,Premium,Monday,November,Clear,Medium,3,0,20.0,579.0,0
ORD-101048,Kolkata,Coimbatore,Books,711.0,2209.2,Economy,New,Monday,October,Clear,Medium,3,0,15.2,231.0,1
ORD-102619,Kolkata,Chandigarh,Electronics,4974.0,2019.7,Standard,Regular,Wednesday,July,Cloudy,Medium,1,1,17.9,227.0,0
ORD-103201,Kolkata,Bhopal,Groceries,5657.0,1531.0,Standard,Regular,Friday,October,Clear,Medium,7,1,10.0,261.0,0
